words,"",2015,2016,ahead,amid,back,bad,bank,better,big,boost,brexit,budget,business,central,china,chinas,chinese,crisis,data,despite,digital,economic,economy,economys,eu,expected,fed,feds,first,focus,fuel,gdp,german,gig,global,good,government,grew,grow,growing,grows,growth,help,hit,imf,impact,india,indian,japan,japans,jobs,local,low,market,markets,may,minister,new,obama,oil,outlook,pct,percent,plan,policy,president,prices,quarter,rate,rates,recession,report,risks,russian,saudi,says,sees,sharing,shows,signs,slowing,slows,south,spending,state,still,stocks,strong,tax,top,trade,trump,uk,us,warns,weak,world,year,years
"",0,286.0,327.0,79.0,53.0,91.0,36.0,289.0,47.0,67.0,83.0,50.0,44.0,160.0,200.0,224.0,237.0,126.0,94.0,202.0,120.0,28.0,906,3347,50.0,72.0,218.0,37.0,19.0,292.0,31.0,34.0,67.0,67.0,27.0,447,84.0,252.0,248.0,109.0,102.0,8.0,562,75.0,55.0,40.0,78.0,48.0,13.0,86.0,68.0,138.0,59.0,68.0,198.0,139.0,188.0,311.0,438.0,51.0,174.0,92.0,5.0,365.0,65.0,96.0,225.0,130.0,350.0,216.0,91.0,80.0,132.0,49.0,39.0,33.0,196,10.0,64.0,43.0,80.0,89.0,8.0,131.0,130.0,153.0,102.0,39.0,92.0,56.0,108.0,73.0,31.0,70.0,498,6.0,74.0,233,518.0,225.0
2015,286,0.0,105.0,13.0,24.0,38.0,16.0,98.0,23.0,10.0,25.0,0.0,19.0,54.0,64.0,68.0,90.0,35.0,27.0,121.0,47.0,3.0,323,1201,23.0,7.0,103.0,3.0,5.0,102.0,4.0,13.0,106.0,22.0,2.0,133,26.0,63.0,300.0,60.0,48.0,1.0,467,10.0,21.0,16.0,23.0,25.0,14.0,6.0,27.0,35.0,12.0,42.0,52.0,34.0,53.0,55.0,114.0,3.0,58.0,51.0,3.0,384.0,4.0,17.0,22.0,60.0,310.0,135.0,30.0,49.0,78.0,16.0,11.0,3.0,62,2.0,22.0,14.0,19.0,20.0,2.0,34.0,70.0,28.0,32.0,7.0,52.0,6.0,20.0,31.0,0.0,47.0,164,2.0,39.0,71,323.0,134.0
2016,327,105.0,0.0,20.0,20.0,26.0,6.0,88.0,28.0,14.0,22.0,5.0,49.0,41.0,52.0,72.0,97.0,44.0,27.0,53.0,47.0,7.0,404,1069,3.0,14.0,122.0,4.0,13.0,234.0,9.0,15.0,63.0,26.0,4.0,145,49.0,85.0,85.0,118.0,45.0,0.0,288,12.0,14.0,21.0,18.0,29.0,17.0,17.0,13.0,29.0,19.0,42.0,69.0,59.0,88.0,80.0,144.0,10.0,71.0,70.0,3.0,190.0,16.0,38.0,45.0,64.0,160.0,91.0,22.0,46.0,84.0,19.0,23.0,11.0,59,3.0,8.0,16.0,46.0,23.0,4.0,28.0,42.0,42.0,40.0,17.0,34.0,10.0,20.0,12.0,4.0,18.0,179,6.0,22.0,116,263.0,102.0
ahead,79,13.0,20.0,0.0,13.0,9.0,2.0,17.0,6.0,6.0,3.0,5.0,12.0,10.0,7.0,11.0,23.0,4.0,6.0,21.0,35.0,3.0,93,282,4.0,16.0,32.0,4.0,0.0,19.0,6.0,1.0,7.0,4.0,2.0,62,8.0,22.0,16.0,7.0,7.0,0.0,72,2.0,4.0,3.0,4.0,10.0,9.0,2.0,0.0,17.0,0.0,4.0,13.0,24.0,7.0,42.0,36.0,10.0,10.0,3.0,0.0,30.0,2.0,11.0,29.0,9.0,21.0,14.0,4.0,2.0,15.0,8.0,0.0,3.0,8,3.0,0.0,0.0,3.0,26.0,0.0,12.0,12.0,16.0,3.0,9.0,4.0,3.0,10.0,12.0,1.0,12.0,57,0.0,5.0,48,58.0,28.0
amid,53,24.0,20.0,13.0,0.0,5.0,1.0,23.0,1.0,1.0,5.0,0.0,3.0,5.0,16.0,20.0,26.0,23.0,20.0,23.0,10.0,0.0,119,259,6.0,4.0,14.0,2.0,0.0,25.0,2.0,4.0,4.0,2.0,2.0,121,3.0,14.0,13.0,5.0,16.0,0.0,81,6.0,2.0,0.0,2.0,4.0,5.0,3.0,5.0,12.0,4.0,12.0,21.0,19.0,9.0,16.0,30.0,3.0,30.0,14.0,0.0,25.0,5.0,16.0,10.0,28.0,28.0,20.0,5.0,8.0,7.0,3.0,3.0,2.0,2,0.0,1.0,2.0,19.0,14.0,0.0,4.0,22.0,15.0,3.0,25.0,10.0,2.0,12.0,12.0,0.0,15.0,50,1.0,17.0,24,53.0,20.0
back,91,38.0,26.0,9.0,5.0,0.0,4.0,26.0,10.0,6.0,13.0,3.0,6.0,22.0,23.0,23.0,9.0,5.0,28.0,25.0,14.0,0.0,110,480,6.0,7.0,39.0,5.0,0.0,62.0,5.0,6.0,15.0,8.0,1.0,75,15.0,47.0,30.0,8.0,19.0,0.0,102,4.0,8.0,1.0,3.0,4.0,3.0,7.0,19.0,19.0,11.0,12.0,19.0,10.0,16.0,31.0,40.0,4.0,15.0,13.0,0.0,54.0,4.0,12.0,22.0,23.0,69.0,41.0,14.0,50.0,14.0,2.0,3.0,4.0,17,0.0,11.0,3.0,4.0,14.0,5.0,9.0,42.0,12.0,23.0,4.0,22.0,5.0,10.0,5.0,8.0,14.0,79,0.0,14.0,13,63.0,51.0
bad,36,16.0,6.0,2.0,1.0,4.0,0.0,6.0,3.0,2.0,16.0,4.0,2.0,9.0,1.0,5.0,3.0,6.0,5.0,6.0,6.0,0.0,58,189,11.0,5.0,3.0,3.0,1.0,26.0,1.0,0.0,4.0,2.0,1.0,22,19.0,22.0,7.0,3.0,3.0,0.0,39,1.0,2.0,3.0,1.0,5.0,11.0,0.0,6.0,3.0,4.0,3.0,9.0,8.0,10.0,10.0,24.0,1.0,5.0,12.0,0.0,12.0,0.0,3.0,6.0,2.0,12.0,5.0,1.0,3.0,7.0,6.0,3.0,0.0,12,0.0,0.0,1.0,6.0,1.0,1.0,4.0,9.0,8.0,7.0,2.0,1.0,6.0,1.0,10.0,3.0,9.0,38,0.0,5.0,15,41.0,13.0
bank,289,98.0,88.0,17.0,23.0,26.0,6.0,0.0,9.0,19.0,40.0,23.0,9.0,38.0,589.0,66.0,94.0,30.0,29.0,64.0,47.0,1.0,321,1168,17.0,28.0,90.0,21.0,2.0,104.0,5.0,5.0,23.0,12.0,0.0,208,19.0,69.0,82.0,71.0,23.0,4.0,324,30.0,33.0,14.0,36.0,49.0,14.0,88.0,45.0,12.0,18.0,44.0,51.0,53.0,76.0,41.0,100.0,0.0,73.0,69.0,1.0,187.0,7.0,132.0,126.0,87.0,124.0,165.0,120.0,43.0,75.0,43.0,23.0,5.0,94,14.0,2.0,8.0,21.0,24.0,2.0,42.0,30.0,42.0,34.0,13.0,33.0,8.0,24.0,6.0,1.0,46.0,116,9.0,33.0,182,248.0,74.0
better,47,23.0,28.0,6.0,1.0,10.0,3.0,9.0,0.0,6.0,14.0,1.0,3.0,17.0,3.0,11.0,14.0,4.0,4.0,16.0,7.0,6.0,68,347,1.0,2.0,55.0,2.0,2.0,23.0,1.0,12.0,12.0,1.0,3.0,24,10.0,24.0,27.0,6.0,15.0,0.0,45,10.0,0.0,1.0,3.0,7.0,11.0,6.0,10.0,20.0,4.0,2.0,10.0,10.0,21.0,20.0,41.0,5.0,13.0,4.0,0.0,23.0,8.0,4.0,22.0,9.0,37.0,13.0,4.0,6.0,14.0,1.0,2.0,1.0,29,0.0,2.0,6.0,11.0,11.0,0.0,3.0,11.0,14.0,21.0,0.0,6.0,7.0,3.0,13.0,12.0,4.0,66,1.0,12.0,12,67.0,22.0
big,67,10.0,14.0,6.0,1.0,6.0,2.0,19.0,6.0,0.0,17.0,1.0,4.0,25.0,8.0,19.0,10.0,12.0,1.0,21.0,6.0,10.0,94,271,0.0,4.0,11.0,1.0,2.0,20.0,1.0,6.0,3.0,0.0,13.0,34,6.0,12.0,2.0,4.0,10.0,0.0,27,5.0,11.0,0.0,14.0,10.0,1.0,0.0,0.0,15.0,9.0,0.0,7.0,21.0,13.0,10.0,37.0,0.0,10.0,5.0,0.0,6.0,2.0,14.0,2.0,14.0,11.0,11.0,10.0,14.0,8.0,5.0,1.0,2.0,8,2.0,11.0,7.0,2.0,4.0,1.0,12.0,8.0,12.0,10.0,6.0,7.0,3.0,1.0,6.0,5.0,10.0,38,1.0,11.0,17,24.0,15.0
