words,"",10,2,2016,3,365,4,5,950,adds,ai,amazon,android,announces,app,apple,apps,available,azure,band,big,book,build,business,buy,ceo,cloud,corporation,cortana,data,deal,dynamics,edge,enterprise,facebook,first,free,future,game,games,get,gets,google,help,heres,hololens,india,internet,ios,iphone,latest,launches,linkedin,live,lumia,make,may,microsoft,microsofts,mobile,msft,nadella,new,next,office,one,open,pc,phone,power,preview,pro,project,release,releases,review,satya,says,security,server,services,skype,software,stock,store,support,surface,tech,technology,uk,update,updates,upgrade,us,users,video,vs,wants,windows,xbox
"",0,266,39.0,184,41.0,35.0,49.0,19.0,36.0,3.0,20.0,36.0,66.0,17.0,96.0,62.0,77.0,75.0,73.0,15.0,59.0,34.0,78.0,115.0,30.0,63.0,140.0,47.0,53.0,107.0,49.0,28.0,42.0,39.0,40.0,107,70.0,36.0,74.0,35.0,90.0,6.0,93.0,49.0,16.0,43.0,16.0,50.0,40.0,31.0,84.0,8.0,47.0,28.0,62.0,55.0,81.0,1828,347,88.0,119.0,78.0,421,51.0,96.0,185,54.0,41.0,52.0,36.0,33.0,59.0,49.0,45.0,10.0,8.0,80.0,59.0,57.0,17.0,83.0,34.0,161.0,28.0,65.0,59.0,99.0,104.0,109.0,14.0,79.0,25.0,37.0,105.0,172,38.0,4.0,31.0,371,111.0
10,266,0,33.0,90,19.0,11.0,27.0,6.0,69.0,11.0,4.0,10.0,49.0,3.0,180.0,26.0,110.0,114.0,14.0,15.0,76.0,20.0,216.0,56.0,12.0,20.0,31.0,8.0,87.0,60.0,21.0,6.0,150.0,29.0,11.0,153,152.0,29.0,40.0,45.0,122.0,3.0,29.0,41.0,22.0,29.0,16.0,76.0,33.0,10.0,191.0,3.0,3.0,27.0,142.0,70.0,62.0,1959,449,351.0,33.0,22.0,608,60.0,46.0,223,28.0,120.0,97.0,24.0,117.0,38.0,15.0,148.0,10.0,3.0,24.0,36.0,60.0,10.0,17.0,16.0,111.0,3.0,75.0,125.0,58.0,23.0,26.0,15.0,373.0,118.0,253.0,49.0,372,25.0,2.0,53.0,2200,96.0
2,39,33,0.0,14,25.0,1.0,17.0,11.0,1.0,3.0,0.0,6.0,17.0,0.0,16.0,18.0,7.0,15.0,0.0,205.0,7.0,11.0,7.0,2.0,12.0,8.0,11.0,1.0,12.0,5.0,7.0,0.0,1.0,0.0,2.0,18,10.0,2.0,5.0,8.0,16.0,0.0,4.0,5.0,5.0,3.0,1.0,1.0,3.0,1.0,16.0,1.0,0.0,2.0,5.0,6.0,15.0,338,47,6.0,3.0,7.0,76,8.0,4.0,27,5.0,8.0,8.0,22.0,1.0,36.0,1.0,19.0,0.0,5.0,7.0,4.0,1.0,2.0,4.0,1.0,14.0,8.0,20.0,10.0,45.0,2.0,7.0,11.0,56.0,7.0,2.0,19.0,21,1.0,1.0,1.0,36,14.0
2016,184,90,14.0,0,16.0,31.0,32.0,18.0,3.0,8.0,4.0,8.0,11.0,12.0,9.0,9.0,16.0,54.0,47.0,10.0,33.0,10.0,142.0,48.0,5.0,25.0,66.0,15.0,1.0,45.0,2.0,55.0,18.0,26.0,6.0,84,20.0,17.0,15.0,20.0,16.0,2.0,7.0,18.0,11.0,36.0,6.0,30.0,9.0,2.0,35.0,1.0,4.0,15.0,16.0,19.0,60.0,880,185,32.0,41.0,23.0,204,34.0,88.0,93,22.0,10.0,11.0,19.0,38.0,15.0,25.0,80.0,7.0,2.0,24.0,12.0,36.0,77.0,40.0,11.0,51.0,4.0,9.0,36.0,38.0,21.0,51.0,6.0,52.0,29.0,12.0,31.0,37,8.0,2.0,4.0,157,72.0
3,41,19,25.0,16,0.0,0.0,37.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,6.0,10.0,5.0,6.0,6.0,4.0,2.0,8.0,0.0,8.0,5.0,0.0,11.0,6.0,0.0,0.0,2.0,0.0,10,2.0,1.0,6.0,5.0,7.0,0.0,1.0,6.0,3.0,5.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,5.0,16.0,198,45,9.0,7.0,0.0,31,7.0,2.0,22,1.0,5.0,4.0,19.0,2.0,81.0,2.0,9.0,0.0,2.0,0.0,6.0,0.0,7.0,1.0,0.0,9.0,7.0,8.0,2.0,137.0,3.0,5.0,5.0,8.0,5.0,1.0,6.0,4,1.0,1.0,4.0,23,12.0
365,35,11,1.0,31,0.0,0.0,0.0,3.0,3.0,5.0,1.0,2.0,9.0,2.0,22.0,2.0,24.0,34.0,69.0,0.0,14.0,2.0,10.0,52.0,1.0,10.0,89.0,2.0,1.0,35.0,4.0,21.0,1.0,27.0,3.0,19,22.0,4.0,1.0,3.0,23.0,1.0,7.0,10.0,4.0,0.0,0.0,3.0,9.0,0.0,11.0,0.0,3.0,3.0,4.0,8.0,14.0,382,70,9.0,5.0,9.0,131,8.0,427.0,16,5.0,0.0,2.0,5.0,20.0,3.0,8.0,18.0,0.0,0.0,9.0,10.0,33.0,2.0,55.0,14.0,14.0,1.0,3.0,10.0,6.0,4.0,7.0,8.0,13.0,14.0,4.0,13.0,70,2.0,0.0,3.0,23,4.0
4,49,27,17.0,32,37.0,0.0,0.0,11.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,25.0,3.0,31.0,2.0,4.0,10.0,102.0,4.0,12.0,12.0,8.0,1.0,6.0,2.0,2.0,8.0,6.0,0.0,7.0,1.0,40,13.0,1.0,13.0,12.0,12.0,1.0,2.0,5.0,1.0,1.0,22.0,3.0,0.0,0.0,27.0,1.0,1.0,3.0,6.0,15.0,16.0,329,104,6.0,10.0,8.0,77,11.0,1.0,68,3.0,9.0,4.0,16.0,2.0,301.0,1.0,14.0,0.0,5.0,8.0,4.0,1.0,4.0,2.0,1.0,11.0,4.0,19.0,8.0,306.0,10.0,8.0,4.0,17.0,24.0,1.0,14.0,21,12.0,4.0,1.0,36,61.0
5,19,6,11.0,18,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,7.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4,5.0,1.0,5.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,10.0,1.0,2.0,2.0,2.0,1.0,5.0,126,17,0.0,5.0,0.0,12,4.0,3.0,19,1.0,7.0,1.0,2.0,1.0,31.0,1.0,20.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,6.0,0.0,1.0,36.0,12.0,0.0,2.0,1.0,0.0,0.0,4.0,2,6.0,1.0,2.0,8,21.0
950,36,69,1.0,3,2.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,6.0,1.0,24.0,0.0,0.0,4.0,4.0,4.0,11.0,6.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,23,16.0,4.0,1.0,0.0,11.0,0.0,1.0,2.0,4.0,1.0,13.0,0.0,2.0,1.0,16.0,0.0,0.0,4.0,222.0,4.0,12.0,202,47,53.0,3.0,1.0,65,7.0,3.0,11,1.0,2.0,33.0,2.0,0.0,3.0,0.0,7.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,9.0,5.0,8.0,2.0,4.0,14.0,9.0,3.0,1.0,20.0,8,2.0,1.0,4.0,83,0.0
adds,3,11,3.0,8,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,7.0,5.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,4,3.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,6.0,1.0,10.0,0.0,2.0,1.0,4.0,4.0,2.0,51,12,3.0,1.0,0.0,39,1.0,12.0,8,1.0,4.0,1.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,9.0,1.0,2.0,0.0,0.0,15.0,4.0,0.0,2.0,9,2.0,0.0,3.0,14,4.0
