words,"",2016,action,address,administration,america,americans,attack,attacks,back,barack,bill,brexit,budget,calls,campaign,change,climate,clinton,congress,control,court,cruz,cuba,deal,donald,executive,fight,final,first,gop,gun,guns,help,hillary,hiroshima,historic,house,immigration,iran,isis,islamic,last,law,leaders,legacy,make,makes,meet,meeting,michelle,national,new,next,nominee,nuclear,obama,obamas,one,orlando,paris,pick,plan,plans,policy,president,republican,republicans,sanders,says,security,senate,shooting,show,signs,speech,state,summit,supreme,syria,take,tax,tells,terror,trade,trip,trudeau,trump,trumps,union,urges,us,visit,wants,war,watch,white,wont,world,year
"",0,124.0,48.0,129.0,353.0,82.0,144.0,56.0,71.0,73.0,2646,61.0,12.0,63.0,21.0,129.0,111.0,101.0,108.0,160.0,76.0,222.0,17.0,120.0,73.0,169.0,89.0,130.0,154.0,355,51.0,134.0,46.0,127.0,116.0,54.0,80.0,486.0,50.0,43.0,50.0,157.0,191.0,132.0,165.0,32.0,98.0,15.0,104.0,99.0,91.0,150.0,337.0,136.0,133.0,86.0,3754,569,240.0,49.0,98.0,23.0,83.0,59.0,74.0,3457,200.0,136.0,45.0,191.0,117.0,115.0,88.0,57.0,7.0,98.0,348.0,84.0,212.0,86.0,64.0,33.0,5.0,27.0,91.0,92.0,28.0,154.0,35.0,121.0,3.0,867,294.0,44.0,84.0,14.0,466.0,29.0,130.0,175.0
2016,124,0.0,5.0,50.0,35.0,6.0,14.0,2.0,3.0,9.0,412,11.0,0.0,10.0,3.0,68.0,4.0,2.0,32.0,21.0,6.0,19.0,6.0,11.0,4.0,41.0,20.0,5.0,31.0,51,15.0,23.0,3.0,2.0,34.0,10.0,5.0,137.0,5.0,4.0,2.0,3.0,34.0,17.0,7.0,6.0,10.0,2.0,12.0,25.0,18.0,39.0,48.0,10.0,8.0,6.0,625,65,43.0,5.0,1.0,2.0,13.0,8.0,8.0,514,35.0,16.0,9.0,24.0,22.0,7.0,3.0,14.0,5.0,24.0,53.0,16.0,20.0,1.0,17.0,10.0,2.0,2.0,10.0,12.0,10.0,39.0,9.0,28.0,1.0,123,21.0,6.0,5.0,2.0,127.0,10.0,14.0,37.0
action,48,5.0,0.0,6.0,18.0,0.0,9.0,2.0,8.0,3.0,143,6.0,0.0,2.0,1.0,1.0,27.0,31.0,2.0,29.0,37.0,15.0,1.0,4.0,3.0,6.0,128.0,8.0,6.0,10,1.0,84.0,14.0,0.0,2.0,0.0,5.0,26.0,15.0,9.0,9.0,9.0,16.0,6.0,7.0,8.0,9.0,0.0,9.0,2.0,1.0,14.0,34.0,5.0,0.0,3.0,233,87,9.0,2.0,26.0,0.0,21.0,5.0,7.0,237,7.0,6.0,0.0,9.0,15.0,2.0,10.0,5.0,0.0,11.0,21.0,3.0,14.0,5.0,52.0,4.0,0.0,2.0,4.0,1.0,1.0,7.0,1.0,3.0,0.0,63,2.0,9.0,3.0,0.0,21.0,4.0,7.0,20.0
address,129,50.0,6.0,0.0,36.0,20.0,73.0,12.0,14.0,8.0,465,8.0,0.0,7.0,4.0,18.0,28.0,18.0,4.0,50.0,14.0,4.0,2.0,12.0,8.0,23.0,13.0,17.0,237.0,65,4.0,33.0,1.0,14.0,1.0,0.0,21.0,107.0,4.0,8.0,15.0,39.0,83.0,11.0,14.0,11.0,29.0,6.0,9.0,12.0,31.0,27.0,44.0,22.0,1.0,6.0,727,200,51.0,5.0,3.0,0.0,18.0,20.0,10.0,741,33.0,14.0,1.0,27.0,18.0,5.0,22.0,8.0,2.0,47.0,413.0,9.0,4.0,6.0,16.0,2.0,0.0,26.0,3.0,5.0,4.0,26.0,2.0,371.0,1.0,144,25.0,2.0,11.0,7.0,96.0,2.0,23.0,40.0
administration,353,35.0,18.0,36.0,0.0,27.0,50.0,13.0,17.0,35.0,339,17.0,3.0,36.0,12.0,24.0,46.0,36.0,26.0,103.0,18.0,103.0,6.0,69.0,54.0,24.0,48.0,48.0,59.0,73,14.0,31.0,7.0,58.0,23.0,0.0,29.0,106.0,28.0,80.0,29.0,68.0,108.0,63.0,24.0,12.0,51.0,8.0,6.0,9.0,1.0,46.0,277.0,38.0,20.0,42.0,2142,182,63.0,11.0,12.0,5.0,85.0,64.0,48.0,500,38.0,31.0,12.0,75.0,54.0,27.0,4.0,12.0,0.0,15.0,135.0,9.0,70.0,46.0,25.0,26.0,6.0,9.0,36.0,14.0,2.0,27.0,6.0,22.0,3.0,334,27.0,25.0,35.0,2.0,83.0,7.0,12.0,97.0
america,82,6.0,0.0,20.0,27.0,0.0,10.0,7.0,11.0,10.0,198,11.0,2.0,0.0,2.0,18.0,10.0,2.0,8.0,9.0,10.0,2.0,5.0,18.0,2.0,28.0,3.0,12.0,14.0,36,7.0,23.0,21.0,8.0,6.0,3.0,14.0,23.0,3.0,4.0,6.0,23.0,17.0,9.0,9.0,4.0,24.0,1.0,2.0,6.0,10.0,20.0,28.0,9.0,6.0,2.0,339,54,23.0,3.0,8.0,0.0,7.0,8.0,5.0,293,24.0,6.0,2.0,12.0,7.0,3.0,11.0,4.0,0.0,20.0,41.0,3.0,2.0,6.0,7.0,0.0,0.0,3.0,7.0,13.0,0.0,19.0,9.0,13.0,1.0,78,20.0,3.0,12.0,3.0,25.0,0.0,27.0,17.0
americans,144,14.0,9.0,73.0,50.0,10.0,0.0,24.0,27.0,11.0,334,7.0,0.0,9.0,2.0,11.0,9.0,9.0,8.0,13.0,13.0,7.0,0.0,15.0,6.0,11.0,7.0,13.0,35.0,39,1.0,35.0,9.0,20.0,7.0,1.0,19.0,45.0,7.0,19.0,14.0,49.0,21.0,14.0,10.0,2.0,22.0,2.0,3.0,6.0,9.0,35.0,35.0,12.0,2.0,9.0,570,78,35.0,12.0,11.0,1.0,11.0,5.0,5.0,510,24.0,14.0,0.0,27.0,25.0,1.0,31.0,9.0,0.0,17.0,76.0,3.0,10.0,5.0,16.0,1.0,2.0,22.0,1.0,13.0,0.0,12.0,2.0,36.0,5.0,138,20.0,5.0,15.0,7.0,46.0,15.0,17.0,12.0
attack,56,2.0,2.0,12.0,13.0,7.0,24.0,0.0,6.0,5.0,170,0.0,2.0,0.0,5.0,2.0,11.0,6.0,9.0,8.0,13.0,2.0,3.0,4.0,1.0,22.0,0.0,2.0,2.0,41,3.0,16.0,2.0,2.0,7.0,31.0,3.0,21.0,1.0,0.0,9.0,17.0,19.0,0.0,11.0,0.0,4.0,2.0,9.0,13.0,2.0,8.0,4.0,2.0,3.0,31.0,292,30,16.0,42.0,12.0,0.0,2.0,1.0,0.0,263,15.0,4.0,1.0,15.0,9.0,1.0,25.0,1.0,0.0,5.0,15.0,7.0,1.0,0.0,1.0,2.0,1.0,51.0,2.0,5.0,1.0,25.0,2.0,0.0,0.0,106,45.0,0.0,3.0,3.0,20.0,2.0,24.0,4.0
attacks,71,3.0,8.0,14.0,17.0,11.0,27.0,6.0,0.0,8.0,209,4.0,0.0,0.0,6.0,24.0,9.0,16.0,5.0,5.0,2.0,0.0,6.0,18.0,4.0,16.0,1.0,16.0,5.0,15,5.0,5.0,3.0,10.0,4.0,0.0,6.0,33.0,2.0,5.0,41.0,79.0,35.0,7.0,13.0,2.0,12.0,0.0,1.0,14.0,1.0,34.0,22.0,3.0,2.0,2.0,361,39,25.0,8.0,179.0,0.0,6.0,4.0,17.0,338,19.0,10.0,3.0,4.0,41.0,1.0,5.0,7.0,0.0,8.0,72.0,13.0,0.0,13.0,3.0,0.0,1.0,70.0,0.0,17.0,1.0,18.0,5.0,1.0,0.0,99,22.0,2.0,9.0,0.0,37.0,5.0,27.0,9.0
back,73,9.0,3.0,8.0,35.0,10.0,11.0,5.0,8.0,0.0,218,4.0,6.0,1.0,7.0,16.0,5.0,4.0,11.0,13.0,5.0,14.0,8.0,16.0,29.0,25.0,4.0,8.0,17.0,26,13.0,8.0,2.0,11.0,9.0,3.0,9.0,32.0,0.0,2.0,7.0,16.0,23.0,3.0,19.0,6.0,13.0,1.0,4.0,8.0,6.0,3.0,37.0,12.0,13.0,5.0,396,49,17.0,0.0,8.0,0.0,11.0,15.0,12.0,291,21.0,15.0,3.0,8.0,2.0,20.0,2.0,5.0,0.0,12.0,22.0,10.0,16.0,9.0,15.0,1.0,1.0,6.0,38.0,12.0,1.0,31.0,5.0,24.0,0.0,96,22.0,5.0,9.0,1.0,32.0,4.0,13.0,10.0
