words,"",2015,2016,4,abbas,arab,army,arrested,bank,boys,call,calls,children,city,conference,conflict,day,de,east,eu,first,flood,flooding,forces,france,french,gaza,greek,group,hamas,help,home,human,international,israel,israeli,israelipalestinian,israelpalestine,israels,jerusalem,jewish,justice,killed,la,land,latest,leader,man,media,meet,middle,minister,netanyahu,new,occupation,one,palestine,palestines,palestinian,palestinians,peace,police,president,propalestine,recognize,refugees,report,rights,sanders,says,school,shooting,shot,soccer,solidarity,solution,state,students,support,sushma,swaraj,syria,talks,team,texas,today,trump,two,uk,un,university,urges,us,violence,visit,war,week,west,woman,world
"",0.0,213.0,290.0,34.0,43.0,38.0,22.0,19.0,103.0,26.0,9.0,3.0,25.0,63.0,32.0,48.0,39.0,75.0,212.0,6.0,66.0,2.0,41.0,65.0,14.0,13.0,79.0,5.0,40.0,12.0,5.0,33.0,14.0,89.0,134.0,245.0,30.0,21.0,18.0,106.0,17.0,15.0,65.0,52.0,52.0,25.0,9.0,45.0,18.0,13.0,32.0,92.0,10.0,123.0,22.0,73.0,1011,47.0,529.0,83.0,52.0,60.0,92.0,3.0,12.0,38.0,54.0,20.0,6.0,35.0,45.0,19.0,41.0,14.0,13.0,25.0,94.0,21.0,46.0,16.0,15.0,14.0,10.0,49.0,113.0,22.0,5.0,68.0,2.0,48.0,24.0,0.0,41.0,16.0,35.0,5.0,35.0,116.0,49.0,47.0
2015,213.0,0.0,10.0,4.0,12.0,3.0,15.0,1.0,21.0,0.0,1.0,1.0,5.0,17.0,1.0,1.0,11.0,3.0,46.0,1.0,9.0,0.0,0.0,38.0,1.0,0.0,22.0,2.0,5.0,1.0,0.0,2.0,2.0,47.0,9.0,100.0,0.0,3.0,5.0,26.0,4.0,3.0,11.0,1.0,5.0,0.0,0.0,13.0,29.0,1.0,30.0,6.0,0.0,11.0,2.0,2.0,141,6.0,164.0,21.0,0.0,11.0,17.0,2.0,2.0,8.0,20.0,3.0,0.0,0.0,5.0,8.0,19.0,0.0,10.0,1.0,13.0,7.0,9.0,1.0,1.0,3.0,1.0,5.0,4.0,32.0,0.0,10.0,0.0,4.0,2.0,0.0,3.0,2.0,4.0,0.0,6.0,24.0,8.0,6.0
2016,290.0,10.0,0.0,31.0,17.0,11.0,5.0,7.0,23.0,0.0,5.0,1.0,10.0,20.0,20.0,10.0,19.0,17.0,110.0,2.0,15.0,3.0,4.0,15.0,0.0,1.0,27.0,0.0,11.0,4.0,3.0,0.0,2.0,111.0,38.0,77.0,2.0,7.0,5.0,37.0,1.0,4.0,6.0,8.0,34.0,1.0,2.0,10.0,100.0,7.0,99.0,22.0,2.0,25.0,17.0,11.0,415,17.0,136.0,29.0,7.0,32.0,20.0,0.0,0.0,20.0,37.0,5.0,5.0,3.0,3.0,2.0,6.0,0.0,4.0,1.0,18.0,4.0,16.0,2.0,2.0,6.0,0.0,8.0,37.0,67.0,2.0,15.0,1.0,9.0,15.0,0.0,12.0,2.0,12.0,3.0,35.0,28.0,5.0,8.0
4,34.0,4.0,31.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,13.0,1.0,1.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,5.0,6.0,1.0,7.0,1.0,0.0,49,0.0,23.0,3.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,7.0,2.0
abbas,43.0,12.0,17.0,2.0,0.0,2.0,0.0,0.0,12.0,0.0,4.0,1.0,0.0,8.0,13.0,3.0,3.0,2.0,3.0,1.0,6.0,0.0,0.0,3.0,3.0,7.0,4.0,16.0,5.0,1.0,1.0,0.0,1.0,16.0,14.0,21.0,1.0,0.0,6.0,5.0,1.0,1.0,3.0,1.0,10.0,1.0,18.0,3.0,2.0,11.0,2.0,30.0,2.0,5.0,4.0,1.0,93,4.0,224.0,9.0,11.0,0.0,229.0,0.0,5.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,7.0,3.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,12.0,0.0,2.0,6.0,3.0,25.0,4.0,13.0,14.0,0.0,7.0
arab,38.0,3.0,11.0,0.0,2.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,5.0,9.0,5.0,5.0,0.0,9.0,1.0,6.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,7.0,4.0,0.0,2.0,0.0,14.0,24.0,15.0,1.0,2.0,0.0,8.0,9.0,3.0,2.0,1.0,5.0,2.0,0.0,1.0,3.0,2.0,7.0,7.0,2.0,5.0,5.0,7.0,90,3.0,75.0,7.0,15.0,1.0,8.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,17.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,9.0,1.0,7.0,4.0,1.0,2.0,0.0,3.0,2.0,3.0,7.0,0.0,9.0
army,22.0,15.0,5.0,0.0,0.0,1.0,0.0,3.0,14.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,6.0,72.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,21,0.0,61.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,3.0,0.0
arrested,19.0,1.0,7.0,0.0,0.0,2.0,3.0,0.0,16.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,21.0,0.0,0.0,9.0,5.0,2.0,0.0,5.0,0.0,0.0,7.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,6.0,57,0.0,32.0,2.0,3.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,18.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,17.0,6.0,0.0
bank,103.0,21.0,23.0,4.0,12.0,6.0,14.0,16.0,0.0,0.0,1.0,3.0,12.0,62.0,2.0,2.0,11.0,0.0,19.0,3.0,27.0,0.0,0.0,51.0,1.0,2.0,38.0,0.0,9.0,0.0,1.0,10.0,3.0,11.0,46.0,144.0,2.0,2.0,19.0,44.0,6.0,1.0,21.0,0.0,14.0,6.0,1.0,14.0,7.0,0.0,2.0,4.0,1.0,16.0,14.0,25.0,142,12.0,263.0,46.0,6.0,12.0,15.0,2.0,0.0,5.0,3.0,5.0,5.0,8.0,8.0,3.0,22.0,1.0,12.0,2.0,9.0,9.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,23.0,0.0,21.0,1.0,2.0,8.0,2.0,6.0,19.0,8.0,3.0,14.0,391.0,13.0,15.0
boys,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,77,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,50.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
