Topic,Word,Count
economy,economy,26114
economy,us,2880
economy,economic,2791
economy,global,1947
economy,growth,1813
economy,says,1728
economy,"",1657
economy,china,1242
economy,2016,1155
economy,chinas,1135
economy,new,1075
economy,brexit,985
economy,uk,889
economy,boost,819
economy,world,753
economy,quarter,723
economy,oil,716
economy,bank,638
economy,jobs,631
economy,minister,622
economy,rate,611
economy,year,582
economy,may,558
economy,2015,555
economy,grow,554
economy,market,535
economy,report,523
economy,fed,505
economy,chinese,491
economy,sharing,462
economy,growing,457
economy,business,455
economy,eu,449
economy,india,437
economy,grows,420
economy,gdp,409
economy,percent,409
economy,state,405
economy,still,399
economy,recession,388
economy,data,388
economy,despite,386
economy,good,382
economy,first,368
economy,help,367
economy,weak,354
economy,russian,354
economy,japan,349
economy,stocks,346
economy,imf,345
economy,warns,344
economy,german,341
economy,grew,339
economy,shows,332
economy,strong,328
economy,expected,327
economy,prices,324
economy,fuel,322
economy,outlook,321
economy,impact,318
economy,years,317
economy,indian,315
economy,gig,311
economy,crisis,311
economy,amid,310
economy,trump,308
economy,low,303
economy,hit,302
economy,risks,301
economy,rates,300
economy,south,300
economy,slows,299
economy,obama,293
economy,sees,292
economy,government,287
economy,plan,286
economy,big,286
economy,pct,282
economy,top,281
economy,japans,279
economy,tax,273
economy,central,270
economy,markets,270
economy,back,268
economy,focus,267
economy,bad,264
economy,digital,263
economy,policy,262
economy,president,260
economy,economys,259
economy,saudi,257
economy,local,257
economy,better,254
economy,ahead,253
economy,trade,253
economy,budget,252
economy,slowing,252
economy,signs,251
economy,spending,250
economy,feds,238
economy,rise,236
economy,slowdown,236
economy,key,236
economy,seen,235
economy,russia,234
economy,fears,232
economy,needs,230
economy,canadas,229
economy,pm,228
economy,set,227
economy,slow,224
economy,confidence,219
economy,recovery,218
economy,forecast,217
economy,survey,216
economy,sales,216
economy,risk,213
economy,next,213
economy,eurozone,212
economy,likely,211
economy,5,210
economy,election,209
economy,hike,209
economy,third,207
economy,show,206
economy,say,206
economy,time,205
economy,finance,204
economy,brazils,204
economy,leaders,203
economy,faces,200
economy,indias,198
economy,one,198
economy,political,197
economy,future,197
economy,job,196
economy,clinton,196
economy,chief,195
