Title,prediction
Saving Private Ryan (1998),3.435364416789937
Schindler's List (1993),3.182960205200943
Toy Story (1995),2.6427890220088015
Braveheart (1995),2.5925142915526167
"Silence of the Lambs, The (1991)",2.5564958500430772
Back to the Future (1985),2.520786267115484
Jurassic Park (1993),2.428397796921751
Star Wars: Episode IV - A New Hope (1977),2.397579908895021
Fargo (1996),2.3904323934164347
"Shawshank Redemption, The (1994)",2.38107952008839
American Beauty (1999),2.377245930320249
Star Wars: Episode V - The Empire Strikes Back (1980),2.338964971412665
Forrest Gump (1994),2.2982948845375275
Apollo 13 (1995),2.256540563942739
"Matrix, The (1999)",2.2522681044507884
Men in Black (1997),2.239758118419195
Terminator 2: Judgment Day (1991),2.22263464618092
Raiders of the Lost Ark (1981),2.19842743880185
"Bug's Life, A (1998)",2.143808659076351
E.T. the Extra-Terrestrial (1982),2.1403728835206968
Airplane! (1980),2.12300367248514
One Flew Over the Cuckoo's Nest (1975),2.116347107256395
Star Wars: Episode VI - Return of the Jedi (1983),2.0984535521858003
"Fugitive, The (1993)",2.078588017906994
Rain Man (1988),2.0563773175369597
"Christmas Story, A (1983)",2.0229911112718826
Groundhog Day (1993),2.0060357655928076
Toy Story 2 (1999),1.9799180180883087
"Sixth Sense, The (1999)",1.9779511472338576
Pulp Fiction (1994),1.9632515788090834
Shakespeare in Love (1998),1.9201447856767295
Dances with Wolves (1990),1.8720336127387347
"Princess Bride, The (1987)",1.870179182676069
Stand by Me (1986),1.7791763590300678
Beauty and the Beast (1991),1.7781950697060753
"Godfather, The (1972)",1.7521951155548425
Titanic (1997),1.74668981430797
L.A. Confidential (1997),1.7370468575784965
"Hunt for Red October, The (1990)",1.7096554181038035
Gladiator (2000),1.6952139849667174
Good Will Hunting (1997),1.693900950020421
"Wizard of Oz, The (1939)",1.6860546606409224
Aladdin (1992),1.6776883522534605
Big (1988),1.650399151886092
Mission: Impossible (1996),1.6367974551575026
Babe (1995),1.62476449227772
Star Wars: Episode I - The Phantom Menace (1999),1.6157610905966622
GoodFellas (1990),1.6024080898585729
Ferris Bueller's Day Off (1986),1.5815538260066186
Dead Poets Society (1989),1.5731460537211455
Speed (1994),1.5705801496426555
"Terminator, The (1984)",1.5632238530642533
"Usual Suspects, The (1995)",1.554844891628293
As Good As It Gets (1997),1.5471726125449796
Jerry Maguire (1996),1.5471121997857393
When Harry Met Sally... (1989),1.5453112076878663
Indiana Jones and the Last Crusade (1989),1.5375800810698512
Monty Python and the Holy Grail (1974),1.5257961847436532
Aliens (1986),1.519531059543137
Ghostbusters (1984),1.5070133684822573
"Breakfast Club, The (1985)",1.5062232840177427
Die Hard (1988),1.5021457868781263
"Patriot, The (2000)",1.4994556213833699
"Green Mile, The (1999)",1.4776585200477574
Total Recall (1990),1.4747593227868205
Lethal Weapon (1987),1.467807238748911
Batman (1989),1.4631842537425053
"Last of the Mohicans, The (1992)",1.4545119163885925
Independence Day (ID4) (1996),1.4530903895834213
Who Framed Roger Rabbit? (1988),1.4526292849916964
"Godfather: Part II, The (1974)",1.450971197461394
"Few Good Men, A (1992)",1.4303153199083092
Twelve Monkeys (1995),1.429207480994719
"Lion King, The (1994)",1.4273098403541953
Life Is Beautiful (La Vita � bella) (1997),1.4224056783141132
"Good Morning, Vietnam (1987)",1.4213929656677138
Contact (1997),1.414481593125345
2001: A Space Odyssey (1968),1.4109953753090934
Close Encounters of the Third Kind (1977),1.4108023788425867
Ghost (1990),1.384607691002297
True Lies (1994),1.3667303800467234
Platoon (1986),1.3642708268123624
Willy Wonka and the Chocolate Factory (1971),1.3628205033561123
Casablanca (1942),1.3627420575923437
Awakenings (1990),1.362661676830685
Being John Malkovich (1999),1.335940678243031
Chicken Run (2000),1.328091276867696
Rocky (1976),1.3146876114322283
Galaxy Quest (1999),1.30548303096526
Jaws (1975),1.2955208784430627
Mary Poppins (1964),1.2934032504814628
"Rock, The (1996)",1.2926160304338061
Amadeus (1984),1.28771044853254
"Untouchables, The (1987)",1.2804575126517161
Romancing the Stone (1984),1.2772911257780168
Erin Brockovich (2000),1.275019367911016
Beetlejuice (1988),1.2484627467389284
Raising Arizona (1987),1.236923438359181
X-Men (2000),1.23389270376594
"League of Their Own, A (1992)",1.2305382687668713
Ben-Hur (1959),1.2267083343464313
Butch Cassidy and the Sundance Kid (1969),1.2213555639668758
Die Hard 2 (1990),1.2127619490222745
There's Something About Mary (1998),1.2115344646077653
"Lost World: Jurassic Park, The (1997)",1.2109342558286733
"Thomas Crown Affair, The (1999)",1.2013598261085736
Psycho (1960),1.200352122590928
"Bridge on the River Kwai, The (1957)",1.1911449572717212
To Kill a Mockingbird (1962),1.1892809644311353
