Title,prediction
Saving Private Ryan (1998),2.9576952201554403
Schindler's List (1993),2.8070370948580785
Toy Story (1995),2.378381934681188
American Beauty (1999),1.9138851135865613
"Shawshank Redemption, The (1994)",1.9004842047722286
"Silence of the Lambs, The (1991)",1.846228654273199
Braveheart (1995),1.8036561781020886
Star Wars: Episode IV - A New Hope (1977),1.7752700378541484
"Godfather, The (1972)",1.697408325231068
Back to the Future (1985),1.6497760811638515
Star Wars: Episode V - The Empire Strikes Back (1980),1.638761661205719
One Flew Over the Cuckoo's Nest (1975),1.622862090632874
Toy Story 2 (1999),1.6217077097283712
Raiders of the Lost Ark (1981),1.617668822271457
Forrest Gump (1994),1.5204184977045245
Fargo (1996),1.4875357667178424
Beauty and the Beast (1991),1.467970941189866
"Bug's Life, A (1998)",1.465950196679675
"Lion King, The (1994)",1.4051977188657772
Rain Man (1988),1.398188844651336
Shakespeare in Love (1998),1.396560214167292
E.T. the Extra-Terrestrial (1982),1.352357593781296
Babe (1995),1.3416477578107033
Terminator 2: Judgment Day (1991),1.3413721851370304
Good Will Hunting (1997),1.3255085138457021
"Wizard of Oz, The (1939)",1.2700040687969798
"Fugitive, The (1993)",1.265734722647713
Groundhog Day (1993),1.1769493793073273
Pulp Fiction (1994),1.1470611797712538
Jurassic Park (1993),1.1454013483803798
Star Wars: Episode VI - Return of the Jedi (1983),1.1281511325125784
"Godfather: Part II, The (1974)",1.1042126717314165
"Sixth Sense, The (1999)",1.1040439528369008
"Matrix, The (1999)",1.0879717692927662
Aladdin (1992),1.0510040149924336
Butch Cassidy and the Sundance Kid (1969),1.0505471822123145
Apollo 13 (1995),1.0435166144593286
As Good As It Gets (1997),1.0101008488272518
Airplane! (1980),1.007365213211519
Men in Black (1997),0.999464640960851
Dances with Wolves (1990),0.9751693161517552
L.A. Confidential (1997),0.9646770000834318
Jerry Maguire (1996),0.9457382302476752
Alien (1979),0.9127755615363206
"Christmas Story, A (1983)",0.910062854451611
"Princess Bride, The (1987)",0.9023614887997103
"Sound of Music, The (1965)",0.8991367232297303
Die Hard (1988),0.8909138528801129
When Harry Met Sally... (1989),0.8889698968030291
Casablanca (1942),0.8884138711875682
"Green Mile, The (1999)",0.8714677956331167
Stand by Me (1986),0.8713821896694499
"Patriot, The (2000)",0.8581160354098465
Mary Poppins (1964),0.852406017168801
GoodFellas (1990),0.84726069215699
Life Is Beautiful (La Vita � bella) (1997),0.8459587601465968
Star Wars: Episode I - The Phantom Menace (1999),0.8384266621548201
"American President, The (1995)",0.8286101613797507
Titanic (1997),0.8267151150883763
"Little Mermaid, The (1989)",0.8237168690976469
Aliens (1986),0.7952400269636114
North by Northwest (1959),0.7922335812357595
Snow White and the Seven Dwarfs (1937),0.7867047774822231
Speed (1994),0.7830663035298275
Sleepless in Seattle (1993),0.7752552558396403
Contact (1997),0.774829326665256
"Bridge on the River Kwai, The (1957)",0.7725136174467109
Ghostbusters (1984),0.7718470642654627
Gladiator (2000),0.7695479495205102
Fantasia (1940),0.7639053815054857
Big (1988),0.761558089663505
"Sting, The (1973)",0.7542354944053284
"Hunt for Red October, The (1990)",0.7405578380661185
Gone with the Wind (1939),0.7287207838428159
Jaws (1975),0.7280306657531621
Being John Malkovich (1999),0.7215623335458604
Erin Brockovich (2000),0.7121955737083525
"Few Good Men, A (1992)",0.7110179957009845
True Lies (1994),0.704732360552425
Young Frankenstein (1974),0.7039060366925683
"Jungle Book, The (1967)",0.7025007493740465
Cinderella (1950),0.7015586794031035
Total Recall (1990),0.6902974400473798
Ghost (1990),0.6878508093037825
Awakenings (1990),0.6858490839192533
"Terminator, The (1984)",0.6823921509475298
"Rock, The (1996)",0.6651550230104689
Pretty Woman (1990),0.6620504416763813
"Crying Game, The (1992)",0.6583073193808116
Lady and the Tramp (1955),0.6483563353481336
Chicken Run (2000),0.6476477465496878
There's Something About Mary (1998),0.6377805952606634
2001: A Space Odyssey (1968),0.6347733977345013
Monty Python and the Holy Grail (1974),0.6291729506136308
Amadeus (1984),0.6278608511294546
Peter Pan (1953),0.6264548025235868
"African Queen, The (1951)",0.6154338033538558
"Full Monty, The (1997)",0.6138338414089939
M*A*S*H (1970),0.6100253409309779
"League of Their Own, A (1992)",0.6093660966512295
Moonstruck (1987),0.6079916280858145
Lethal Weapon (1987),0.6072522515391531
Animal House (1978),0.6012864143133002
Indiana Jones and the Last Crusade (1989),0.5957654091333927
Who Framed Roger Rabbit? (1988),0.5956663884918251
Platoon (1986),0.5951997034112235
"Usual Suspects, The (1995)",0.5937790834409081
Raising Arizona (1987),0.5920066481110088
"Fish Called Wanda, A (1988)",0.591157648775478
"Breakfast Club, The (1985)",0.5854715000428332
You've Got Mail (1998),0.5784113612426052
Taxi Driver (1976),0.5762042621821166
Sling Blade (1996),0.5716989669148301
Thelma & Louise (1991),0.5710456907338137
Psycho (1960),0.5675846767596513
Seven (Se7en) (1995),0.563916086531267
Blade Runner (1982),0.5570911523503022
Ferris Bueller's Day Off (1986),0.5547737353067655
Mission: Impossible (1996),0.551994702775697
Cool Hand Luke (1967),0.5504106088603705
American Graffiti (1973),0.5499191381541467
"Boat, The (Das Boot) (1981)",0.5445782199671256
Apocalypse Now (1979),0.5429041079449218
"Iron Giant, The (1999)",0.5427861020588098
Dead Man Walking (1995),0.542438963624708
Reservoir Dogs (1992),0.5416597412726933
Witness (1985),0.5389554658712902
X-Men (2000),0.5372735858531603
Ben-Hur (1959),0.5353754996066973
Top Gun (1986),0.5333378803134057
West Side Story (1961),0.5288387903925943
Willy Wonka and the Chocolate Factory (1971),0.5207978411005298
Independence Day (ID4) (1996),0.5188920969284256
James and the Giant Peach (1996),0.5178556518562971
Pleasantville (1998),0.5166287993743477
Blazing Saddles (1974),0.5126224028142478
Back to the Future Part III (1990),0.5125286574622092
Bull Durham (1988),0.5113185394767225
"Hunchback of Notre Dame, The (1996)",0.5102366509168677
Sense and Sensibility (1995),0.5060480759442416
Tarzan (1999),0.5035343962346625
"Blues Brothers, The (1980)",0.5019025855421361
Bambi (1942),0.5002701252883076
Rocky (1976),0.500010072340371
Star Trek: First Contact (1996),0.49901355884808124
Chinatown (1974),0.49543846580707396
Close Encounters of the Third Kind (1977),0.4952125976925111
"Perfect Storm, The (2000)",0.4950672816870367
Mrs. Doubtfire (1993),0.49505290050565176
Dead Poets Society (1989),0.4945361212708364
Patriot Games (1992),0.4932435443591079
"Last of the Mohicans, The (1992)",0.4911987496870809
Splash (1984),0.484702805936726
Austin Powers: The Spy Who Shagged Me (1999),0.4818704171538479
"Secret Garden, The (1993)",0.47896759319644727
Glory (1989),0.47801882817145486
