Title,similarity
"Man of No Importance, A (1994)",0.9997776667823507
Caught (1996),0.9997725218689332
"Savage Nights (Nuits fauves, Les) (1992)",0.9997553844884824
Girls Town (1996),0.9997499552142308
"Education of Little Tree, The (1997)",0.9997494516089733
"Month by the Lake, A (1995)",0.9997487417103944
Artemisia (1997),0.999748254741524
Some Mother's Son (1996),0.9997481840777596
"Colonel Chabert, Le (1994)",0.9997480264165841
Go Now (1995),0.999747508677749
Anna Karenina (1997),0.9997474233491176
Paradise Road (1997),0.9997467951478862
"Price Above Rubies, A (1998)",0.9997466886682691
Hurricane Streets (1998),0.9997462464167676
Firelight (1997),0.9997457451543225
Telling Lies in America (1997),0.999745246222237
Slam (1998),0.9997447314215181
Johns (1996),0.9997443501909534
"Big Squeeze, The (1996)",0.9997440402068759
"Land Girls, The (1998)",0.9997437972551719
"Sheltering Sky, The (1990)",0.9997436748376378
"Grandfather, The (El Abuelo) (1998)",0.9997435421294572
Rough Magic (1995),0.999743468128189
Dancing at Lughnasa (1998),0.9997431276928093
Star Maps (1997),0.9997431055110858
Your Friends and Neighbors (1998),0.9997429553049282
Wide Awake (1998),0.9997425568402675
Another Day in Paradise (1998),0.9997425316410641
Prefontaine (1997),0.999741602588829
Light It Up (1999),0.9997414734377399
"Acid House, The (1998)",0.9997411318850685
Steam: The Turkish Bath (Hamam) (1997),0.9997411203202468
Bliss (1997),0.9997410482911644
"School of Flesh, The (L' �cole de la chair) (1998)",0.9997409002026172
Buddy (1997),0.9997408952524233
Tango (1998),0.9997408040808154
Lulu on the Bridge (1998),0.9997404948907456
Miss Julie (1999),0.9997404258745641
"Theory of Flight, The (1998)",0.9997403963743091
Without Limits (1998),0.9997403086279197
Limbo (1999),0.999740037775743
Urbania (2000),0.9997399055116958
All the Vermeers in New York (1990),0.9997398677194876
Goya in Bordeaux (Goya en Bodeos) (1999),0.9997398069491071
My Life (1993),0.9997396668754799
See the Sea (Regarde la mer) (1997),0.9997395927878279
"Gambler, The (A J�t�kos) (1997)",0.9997395305669287
Bandit Queen (1994),0.9997391549779507
"Myth of Fingerprints, The (1997)",0.9997387879407297
Simpatico (1999),0.9997387507841311
Steal This Movie! (2000),0.9997387339615427
One Tough Cop (1998),0.9997387138159823
"Broken Hearts Club, The (2000)",0.9997384103037704
Crazy in Alabama (1999),0.9997383745385465
Let's Talk About Sex (1998),0.9997381607572584
Two Family House (2000),0.9997381569933279
Crime and Punishment in Suburbia (2000),0.9997380976135685
"Minus Man, The (1999)",0.9997380049510602
Plunkett & MaCleane (1999),0.9997379816714711
Wisdom (1986),0.9997378948064249
Where the Money Is (2000),0.9997375450479393
At First Sight (1999),0.9997373231065162
Tumbleweeds (1999),0.9997372522442919
"Hi-Lo Country, The (1998)",0.9997370324366662
All Over Me (1997),0.9997370165207181
Celestial Clockwork (1994),0.9997369418457688
Digging to China (1998),0.9997367889534774
God Said 'Ha!' (1998),0.9997367808486449
"Pompatus of Love, The (1996)",0.9997367640762919
"Apple, The (Sib) (1998)",0.9997367164345234
Bootmen (2000),0.9997366150613435
Night Falls on Manhattan (1997),0.9997366113118944
Bent (1997),0.9997365835711005
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)",0.99973651810587
Flawless (1999),0.9997363891020128
Indian Summer (a.k.a. Alive & Kicking) (1996),0.9997363843089901
Peter's Friends (1992),0.999736365140425
Beautiful (2000),0.9997362936418962
Twice Upon a Yesterday (1998),0.9997361932327679
Body Shots (1999),0.9997361826135045
Whatever (1998),0.9997361820139137
Time Code (2000),0.9997359487817918
Roadside Prophets (1992),0.9997358062161598
Ridicule (1996),0.9997357026818615
Following (1998),0.9997355978318885
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",0.9997355702474013
Permanent Midnight (1998),0.9997355549804836
Raining Stones (1993),0.999735231695374
Mo' Better Blues (1990),0.9997351896142038
Monument Ave. (1998),0.9997350886638726
Shower (Xizhao) (1999),0.9997350244057219
"Winslow Boy, The (1998)",0.9997349823637618
"Leading Man, The (1996)",0.9997346439911627
"End of Violence, The (1997)",0.9997345848437081
West Beirut (West Beyrouth) (1998),0.999734348621151
Delta of Venus (1994),0.9997342888105152
And the Ship Sails On (E la nave va) (1984),0.9997341846742549
"Girl on the Bridge, The (La Fille sur le Pont) (1999)",0.9997341291237191
Love! Valour! Compassion! (1997),0.9997339951141719
"Whole Wide World, The (1996)",0.9997339610073144
Get Carter (2000),0.9997339257973418
"Affair of Love, An (Une Liaison Pornographique) (1999)",0.9997339175459198
Gabbeh (1996),0.999733889823871
Barenaked in America (1999),0.9997338798494507
Hilary and Jackie (1998),0.9997338650491874
Duets (2000),0.9997338368025513
Hurlyburly (1998),0.9997337862949339
Chinese Box (1997),0.9997337817875573
"Marcello Mastroianni: I Remember Yes, I Remember (1997)",0.9997337517147373
"Mighty, The (1998)",0.9997336721177659
"Yards, The (1999)",0.9997336571076524
Return to Paradise (1998),0.9997335975814292
Woman on Top (2000),0.9997333818483555
"Golden Bowl, The (2000)",0.9997333813856802
Only Angels Have Wings (1939),0.9997332666267426
A Chef in Love (1996),0.9997331869664638
Napoleon and Samantha (1972),0.9997331079530777
"McCullochs, The (1975)",0.9997331079530777
Where's Marlowe? (1999),0.9997331079530777
Lured (1947),0.9997331079530777
"Baby, The (1973)",0.9997331079530777
Tarantella (1995),0.9997331079530777
Rhyme & Reason (1997),0.9997331079530777
Voyage to the Beginning of the World (1997),0.9997331079530777
I Don't Want to Talk About It (De eso no se habla) (1993),0.9997331079530777
Nueba Yol (1995),0.9997331079530777
Bye-Bye (1995),0.9997331079530777
Venice/Venice (1992),0.9997331079530777
Schlafes Bruder (Brother of Sleep) (1995),0.9997331079530777
Target (1995),0.9997331079530777
Tainted (1998),0.9997331079530777
"Gate of Heavenly Peace, The (1995)",0.9997331079530777
Lotto Land (1995),0.9997331079530777
"Low Life, The (1994)",0.9997331079530777
Macao (1952),0.9997331079530777
Happy Go Lovely (1951),0.9997331079530777
Happy Weekend (1996),0.9997331079530777
"End of the Affair, The (1955)",0.9997331079530777
Death in Brunswick (1991),0.9997331079530777
Broken Vessels (1998),0.9997331079530777
One Little Indian (1973),0.9997331079530777
With Friends Like These... (1998),0.9997331079530777
"Uninvited Guest, An (2000)",0.9997331079530777
For Ever Mozart (1996),0.9997331079530777
Diebinnen (1995),0.9997331079530777
Somewhere in the City (1997),0.9997331079530777
White Boys (1999),0.9997331079530777
Ulysses (Ulisse) (1954),0.9997331079530777
"Lay of the Land, The (1997)",0.9997331079530777
Outside Ozona (1998),0.9997331079530777
"Waiting Game, The (2000)",0.9997331079530777
Windows (1980),0.9997331079530777
Billy's Holiday (1995),0.9997331079530777
Detroit 9000 (1973),0.9997331079530777
"Wooden Man's Bride, The (Wu Kui) (1994)",0.9997331079530777
Wirey Spindell (1999),0.9997331079530777
Nemesis 2: Nebula (1995),0.9997331079530777
It Happened Here (1961),0.9997331079530777
Bluebeard (1944),0.9997331079530777
Everything Relative (1996),0.9997331079530777
Live Virgin (1999),0.9997331079530777
Smashing Time (1967),0.9997331079530777
Leather Jacket Love Story (1997),0.9997331079530777
Resurrection Man (1998),0.9997331079530777
"Bat Whispers, The (1930)",0.9997331079530777
An Unforgettable Summer (1994),0.9997331079530777
Johnny 100 Pesos (1993),0.9997331079530777
Heaven's Burning (1997),0.9997331079530777
"Proposition, The (1998)",0.9997331079530777
"Closer You Get, The (2000)",0.9997331079530777
Hillbillys in a Haunted House (1967),0.9997331079530777
